Hz	Up 0.05 #1	Up 0.05 #2	Up 0.05 #3	Up 0.05 #4	Up 0.05 #5	Up 0.1 #1	Up 0.1 #2	Up 0.1 #3	Up 0.1 #4	Up 0.1 #5	NG #1	NG #2	NG #3	NG #4	NG #5	REF	UP	LOW	MASK
1800	123.529	123.727	123.682	123.635	123.765	123.393	123.383	123.504	123.903	123.47	123.992	123.924	123.989	123.981	123.801	123.797	125.497	122.097	1.7
1900	122.355	122.528	122.478	122.448	122.581	122.218	122.207	122.315	122.733	122.296	122.806	122.737	122.805	122.783	122.623	122.624	124.324	120.924	1.7
2000	121.33	121.489	121.43	121.423	121.547	121.19	121.181	121.27	121.717	121.283	121.764	121.723	121.781	121.754	121.617	121.606	123.306	119.906	1.7
2120	120.268	120.446	120.369	120.373	120.469	120.128	120.094	120.193	120.674	120.242	120.695	120.667	120.723	120.697	120.576	120.562	122.262	118.862	1.7
2240	119.386	119.586	119.493	119.491	119.606	119.235	119.33	119.302	119.778	119.334	119.797	119.737	119.804	119.816	119.668	119.676	121.376	117.976	1.7
2360	118.633	118.855	118.76	118.726	118.881	118.499	118.64	118.549	119.031	118.58	119.024	118.993	119.033	119.079	118.884	119.007	120.707	117.307	1.7
2500	117.893	118.204	118.07	118.003	118.219	117.82	117.916	117.811	118.38	117.979	118.377	118.338	118.389	118.353	118.17	118.226	119.926	116.526	1.7
2650	117.316	117.658	117.48	117.423	117.655	117.258	117.345	117.212	117.797	117.403	117.771	117.769	117.839	117.85	117.636	117.587	119.287	115.887	1.7
2800	116.964	117.261	117.107	117.063	117.189	116.871	116.9	116.999	117.445	117.015	117.36	117.354	117.406	117.398	117.189	117.195	118.895	115.495	1.7
3000	116.324	116.623	116.45	116.394	116.566	116.166	116.289	116.304	116.788	116.259	116.549	116.632	116.653	116.6	116.338	116.352	118.552	114.152	2.2
3150	116.097	116.453	116.294	116.273	116.364	116.001	116.069	116.123	116.608	116.168	116.444	116.442	116.592	116.527	116.211	116.299	118.499	114.099	2.2
3350	116.267	116.568	116.407	116.299	116.508	116.093	116.23	116.242	116.726	116.496	116.683	116.347	116.714	116.563	116.455	116.314	118.514	114.114	2.2
3550	116.526	116.687	116.534	116.474	116.719	116.315	116.541	116.559	117.199	116.636	116.668	116.57	116.78	116.856	116.506	116.707	118.907	114.507	2.2
3750	116.849	117.162	117.06	117.087	117.149	116.798	116.95	117.002	117.631	117.245	117.309	117.046	117.137	117.482	116.895	117.29	119.49	115.09	2.2
4000	117.973	118.283	118.078	118.032	118.246	117.819	117.847	117.87	118.57	118.271	118.429	118.44	118.373	118.465	118.309	118.336	120.536	116.136	2.2
4250	119.209	119.553	119.335	119.301	119.463	119.144	119.211	119.148	119.808	119.468	119.597	119.558	119.754	119.524	119.411	119.485	121.685	117.285	2.2
4500	120.41	120.788	120.579	120.533	120.67	120.353	120.474	120.38	121.082	120.726	120.79	120.785	120.937	120.864	120.632	120.62	122.82	118.42	2.2
4750	121.592	121.996	121.812	121.772	121.856	121.57	121.646	121.601	122.337	121.997	122.009	122.059	122.193	122.128	121.874	121.868	124.068	119.668	2.2
5000	121.623	121.971	121.834	121.808	121.838	121.583	121.668	121.638	122.338	121.943	122.008	122.069	122.169	122.105	121.914	121.997	124.697	119.297	2.7
5300	119.372	119.585	119.619	119.62	119.578	119.338	119.458	119.377	120.096	119.626	119.817	119.754	119.878	119.844	119.675	119.958	122.658	117.258	2.7
5600	116.594	116.778	116.851	116.828	116.776	116.565	116.654	116.603	117.31	116.825	117.231	117.212	117.296	117.13	117.035	117.184	119.884	114.484	2.7
6000	112.948	113.065	113.116	113.196	113.084	112.824	112.897	112.854	113.55	112.959	113.431	113.463	113.636	113.297	113.42	113.803	117.503	110.103	3.7
6300	110.825	110.886	110.887	110.904	110.922	110.7	110.655	110.666	111.259	110.593	111.305	111.217	111.235	111.134	111.371	111.779	115.479	108.079	3.7
6700	108.719	108.665	108.66	108.562	108.889	108.464	108.514	108.717	108.934	108.349	109.059	108.894	109.067	108.934	109.285	109.783	113.483	106.083	3.7
7100	107.341	107.235	107.386	107.373	107.539	107.122	107.246	107.572	107.674	107.178	107.803	107.63	107.86	107.699	108.052	108.434	112.134	104.734	3.7
7500	106.522	106.497	106.535	106.798	106.782	106.556	106.809	106.922	107.029	106.617	107.027	107.185	107.021	106.877	107.248	107.652	111.352	103.952	3.7
8000	106.298	106.363	106.329	106.595	106.561	106.395	106.643	106.702	107.133	106.456	106.821	106.815	106.657	106.554	106.654	107.254	110.954	103.554	3.7
8500	107.171	107.515	107.333	107.417	107.451	107.334	107.608	107.579	108.017	107.127	107.6	107.686	107.752	107.547	107.488	108.031	111.731	104.331	3.7
9000	109.413	109.983	109.746	109.785	109.83	109.739	110.05	110.003	110.365	108.909	110.011	109.993	110.02	110.033	109.717	110.306	114.006	106.606	3.7
9500	113.098	113.115	113.272	113.101	113.373	113.253	113.772	113.7	113.507	110.986	113.356	113.653	113.459	113.626	113.446	113.976	117.676		3.7
10000	119.301	118.505	118.549	118.868	119.318	119.15	118.944	119.324	118.087	115.283	119.357	119.52	118.859	119.148	119.679	120.113	124.813		4.7
10600	125.463	123.298	122.924	124.02	124.959	123.476	122.862	124.248	122.148	120.49	124.51	124.746	123.742	123.997	125.177	125.241	129.941		4.7
11200	117.093	115.917	115.252	115.58	116.929	114.899	114.666	116.297	114.303	113.103	116.073	116.439	115.535	116.101	115.821	115.927	120.627		4.7
11800	113.371	111.661	110.931	111.154	113.361	109.818	110.095	111.314	110.066	108.907	111.69	112.379	111.691	112.275	110.468	111.21	115.91		4.7
12500	110.85	108.098	107.726	108.479	110.545	106.529	106.958	107.786	107.442	105.975	109.055	109.373	109.259	109.411	107.506	108.701	113.401		4.7
13200	108.394	105.699	105.172	106.777	107.816	105.152	105.101	105.978	105.69	104.052	107.249	107.591	107.713	107.049	106.582	107.635	112.335		4.7
14000	106.906	104.42	104.26	106.046	106.723	105.735	104.393	104.874	105.415	103.53	106.864	107.063	107.242	105.929	107.38	108.083	112.783		4.7
15000	109.107	107.141	107.135	109.243	109.257	109.945	107.616	107.707	108.698	106.751	109.886	109.982	110.553	108.814	110.994	111.934	116.634		4.7
16000	104.997	102.688	103.503	105.927	105.183	106.171	103.851	104.97	104.718	103.302	106.077	105.996	106.096	104.678	107.499	108.499	113.199		4.7
17000	95.276	94.213	95.532	96.652	95.402	97.369	94.693	96.881	95.806	95.648	96.739	96.514	96.844	95.168	99.133	99.747	104.447		4.7
18000	94.119	95.267	96.005	94.189	93.726	95.584	93.325	94.017	94.485	97.482	95.243	94.15	94.639	94.022	96.723	97.188	101.888		4.7
19000	100.818	103.265	103.002	100.058	100.706	102.385	100.201	98.829	101.275	105.702	101.598	99.871	101.552	100.971	101.343	102.016	106.716		4.7
20000	104.524	106.491	106.205	104.017	104.277	105.074	103.818	103.106	104.189	108.684	105.057	102.897	104.871	104.203	103.525	105.304	110.004		4.7
