## SPL DATA
	Standard	#1 Test	#2 Test	#3 Test	#4 Test	#5 Test	#6 Test	#7 Test	#8 Test	#9 Test	#10 Test	#1 Thường	#2 Thường	#3 Thường	#4 Thường	#5 Thường	#6 Thường	#7 Thường	#8 Thường	#9 Thường	#10 Thường
1060	0.305	0.316	0.304	0.318	0.312	0.302	0.294	0.319	0.295	0.299	0.285	0.306	0.314	0.329	0.309	0.308	0.296	0.312	0.318	0.298	0.298
1120	0.267	0.274	0.26	0.274	0.256	0.249	0.259	0.279	0.254	0.262	0.242	0.265	0.273	0.286	0.264	0.26	0.251	0.264	0.268	0.262	0.251
1180	0.191	0.209	0.193	0.202	0.192	0.184	0.186	0.208	0.187	0.191	0.183	0.197	0.201	0.22	0.186	0.202	0.189	0.195	0.204	0.192	0.184
1250	0.163	0.179	0.152	0.167	0.155	0.141	0.157	0.184	0.16	0.149	0.147	0.152	0.169	0.209	0.17	0.176	0.145	0.164	0.176	0.143	0.143
1320	0.208	0.229	0.183	0.198	0.192	0.179	0.2	0.235	0.204	0.19	0.169	0.202	0.221	0.284	0.219	0.222	0.19	0.222	0.242	0.154	0.178
1400	0.261	0.284	0.216	0.243	0.23	0.218	0.235	0.283	0.241	0.24	0.201	0.243	0.28	0.337	0.247	0.273	0.234	0.29	0.277	0.174	0.214
1500	0.309	0.35	0.277	0.308	0.312	0.266	0.302	0.389	0.303	0.284	0.25	0.316	0.383	0.472	0.333	0.381	0.291	0.368	0.366	0.225	0.248
1600	0.372	0.421	0.309	0.327	0.32	0.272	0.324	0.425	0.321	0.32	0.249	0.335	0.406	0.542	0.38	0.433	0.322	0.421	0.42	0.228	0.292
1700	0.299	0.301	0.235	0.214	0.244	0.184	0.257	0.327	0.238	0.233	0.167	0.271	0.314	0.401	0.292	0.367	0.224	0.352	0.339	0.161	0.216
1800	0.181	0.192	0.107	0.152	0.122	0.115	0.15	0.2	0.178	0.139	0.104	0.169	0.19	0.243	0.167	0.201	0.157	0.198	0.186	0.109	0.118
1900	0.1	0.119	0.093	0.101	0.096	0.11	0.095	0.137	0.109	0.11	0.085	0.123	0.1	0.13	0.098	0.116	0.098	0.117	0.118	0.093	0.097
2000	0.072	0.092	0.078	0.117	0.06	0.102	0.078	0.079	0.102	0.093	0.083	0.087	0.084	0.107	0.056	0.08	0.085	0.075	0.081	0.093	0.07
2120	0.081	0.078	0.097	0.148	0.077	0.109	0.075	0.066	0.096	0.108	0.092	0.091	0.067	0.081	0.077	0.066	0.084	0.074	0.073	0.086	0.073
2240	0.066	0.099	0.075	0.133	0.102	0.097	0.08	0.073	0.101	0.081	0.096	0.109	0.079	0.113	0.106	0.092	0.082	0.07	0.088	0.132	0.104
2360	0.092	0.104	0.11	0.147	0.104	0.123	0.116	0.094	0.082	0.093	0.075	0.077	0.152	0.146	0.083	0.194	0.075	0.141	0.118	0.136	0.209
2500	0.097	0.137	0.08	0.155	0.125	0.127	0.134	0.094	0.095	0.113	0.107	0.1	0.157	0.118	0.118	0.122	0.174	0.072	0.078	0.152	0.085
2650	0.121	0.139	0.122	0.163	0.112	0.101	0.079	0.113	0.099	0.128	0.096	0.111	0.124	0.263	0.115	0.124	0.136	0.25	0.174	0.093	0.097
2800	0.127	0.112	0.11	0.181	0.099	0.137	0.142	0.138	0.11	0.133	0.114	0.121	0.103	0.17	0.114	0.16	0.118	0.126	0.137	0.097	0.14
3000	0.182	0.179	0.159	0.296	0.128	0.188	0.159	0.172	0.171	0.203	0.164	0.179	0.187	0.25	0.179	0.214	0.175	0.163	0.211	0.145	0.164
3150	0.278	0.305	0.25	0.514	0.204	0.302	0.271	0.306	0.305	0.32	0.299	0.26	0.277	0.445	0.29	0.344	0.255	0.258	0.309	0.247	0.273
3350	0.819	0.854	0.835	1.286	0.588	0.967	0.767	0.847	0.831	1.078	0.83	0.808	0.871	1.388	0.872	1.074	0.802	0.712	0.914	0.685	0.84
3550	1.265	1.319	1.122	1.384	0.978	1.146	1.065	1.437	1.119	1.317	0.865	1.239	1.437	2.142	1.27	1.804	1.091	1.233	1.512	1.072	1.148
3750	0.394	0.512	0.379	0.425	0.408	0.385	0.402	0.539	0.494	0.441	0.285	0.484	0.563	0.667	0.459	0.568	0.376	0.528	0.489	0.345	0.369
4000	0.138	0.209	0.14	0.15	0.169	0.138	0.105	0.174	0.2	0.135	0.135	0.162	0.179	0.173	0.146	0.155	0.118	0.179	0.18	0.14	0.105
4250	0.08	0.107	0.086	0.102	0.091	0.095	0.067	0.087	0.103	0.077	0.111	0.088	0.077	0.079	0.064	0.064	0.067	0.077	0.075	0.078	0.059
4500	0.125	0.129	0.135	0.186	0.111	0.148	0.131	0.112	0.133	0.132	0.184	0.118	0.104	0.13	0.122	0.114	0.115	0.097	0.109	0.13	0.116
4750	0.243	0.223	0.263	0.374	0.193	0.29	0.253	0.24	0.242	0.293	0.364	0.246	0.222	0.27	0.239	0.253	0.256	0.19	0.236	0.26	0.251
5000	0.599	0.499	0.619	0.94	0.475	0.774	0.696	0.597	0.557	0.789	0.916	0.589	0.516	0.739	0.655	0.705	0.668	0.48	0.573	0.621	0.685
5300	1.233	0.995	1.172	1.519	1.05	1.358	1.506	1.237	1.119	1.6	1.309	1.145	1.163	1.692	1.462	1.591	1.498	1.19	1.396	1.142	1.521
5600	0.491	0.556	0.549	0.63	0.495	0.546	0.796	0.622	0.523	0.663	0.666	0.544	0.769	0.818	0.652	0.885	0.66	0.653	0.615	0.538	0.669
6000	0.336	0.342	0.306	0.379	0.353	0.371	0.498	0.349	0.349	0.36	0.539	0.378	0.367	0.409	0.412	0.486	0.365	0.423	0.351	0.444	0.339
6300	0.294	0.287	0.295	0.343	0.284	0.367	0.4	0.253	0.327	0.313	0.519	0.337	0.313	0.368	0.365	0.452	0.299	0.336	0.279	0.408	0.284
6700	0.311	0.246	0.328	0.314	0.223	0.363	0.318	0.215	0.243	0.304	0.468	0.303	0.204	0.233	0.283	0.224	0.23	0.263	0.228	0.353	0.259
7100	0.315	0.301	0.341	0.455	0.268	0.452	0.356	0.268	0.327	0.341	0.517	0.375	0.22	0.262	0.318	0.24	0.326	0.255	0.286	0.458	0.342
7500	0.618	0.483	0.688	0.912	0.549	0.822	0.672	0.503	0.601	0.634	1.009	0.614	0.476	0.504	0.521	0.429	0.553	0.377	0.419	0.826	0.646
8000	0.344	0.297	0.432	0.566	0.315	0.472	0.346	0.255	0.261	0.351	0.535	0.345	0.205	0.237	0.274	0.214	0.304	0.198	0.289	0.489	0.32
8500	0.168	0.135	0.173	0.305	0.135	0.212	0.144	0.104	0.14	0.156	0.241	0.154	0.104	0.108	0.119	0.127	0.128	0.084	0.131	0.21	0.138
9000	0.179	0.143	0.189	0.417	0.133	0.231	0.181	0.123	0.159	0.187	0.256	0.151	0.134	0.163	0.185	0.14	0.147	0.098	0.153	0.218	0.186
9500	0.419	0.297	0.413	1.131	0.292	0.556	0.402	0.306	0.345	0.473	0.664	0.342	0.313	0.411	0.373	0.354	0.365	0.231	0.337	0.453	0.443
10000	0.498	0.341	0.529	1.165	0.352	0.572	0.487	0.403	0.401	0.572	0.627	0.42	0.388	0.559	0.432	0.459	0.471	0.321	0.438	0.502	0.516
10600	0.332	0.244	0.29	0.423	0.23	0.295	0.283	0.217	0.242	0.285	0.343	0.249	0.206	0.254	0.258	0.242	0.254	0.197	0.225	0.285	0.254
11200	0.247	0.273	0.497	0.308	0.354	0.285	0.52	0.491	0.367	0.41	0.256	0.337	0.488	0.727	0.342	0.441	0.378	0.461	0.517	0.222	0.555
11800	0.081	0.135	0.18	0.101	0.157	0.083	0.213	0.217	0.147	0.12	0.094	0.138	0.246	0.286	0.128	0.184	0.126	0.229	0.232	0.071	0.225
12500	0.098	0.109	0.044	0.061	0.118	0.118	0.123	0.136	0.114	0.069	0.052	0.134	0.166	0.201	0.138	0.152	0.098	0.14	0.11	0.148	0.307
13200	0.078	0.06	0.05	0.022	0.054	0.05	0.035	0.036	0.043	0.046	0.063	0.073	0.029	0.03	0.062	0.011	0.056	0.049	0.056	0.091	0.023
14000	0.07	0.041	0.051	0.06	0.081	0.067	0.038	0.05	0.065	0.051	0.05	0.037	0.051	0.036	0.038	0.049	0.05	0.037	0.036	0.057	0.072
15000	0.067	0.057	0.049	0.041	0.063	0.047	0.068	0.057	0.057	0.049	0.045	0.055	0.054	0.055	0.049	0.053	0.063	0.067	0.06	0.034	0.047
16000	0.028	0.019	0.032	0.033	0.017	0.011	0.033	0.033	0.018	0.024	0.016	0.022	0.024	0.034	0.029	0.025	0.023	0.025	0.036	0.012	0.027
17000	0.013	0.041	0.007	0.043	0.012	0.028	0.018	0.02	0.018	0.022	0.038	0.025	0.019	0.016	0.021	0.014	0.018	0.02	0.03	0.019	0.026
18000	0.046	0.019	0.032	0.053	0.02	0.034	0.021	0.027	0.015	0.014	0.076	0.002	0.022	0.053	0.008	0.04	0.04	0.023	0.029	0.055	0.027
19000	0.015	0.011	0.005	0.007	0.045	0.003	0.009	0.02	0.017	0.027	0.041	0.026	0.021	0.022	0.031	0.006	0.031	0.042	0.015	0.025	0.019
20000	0.038	0.044	0.036	0.089	0.024	0.037	0.021	0.027	0.04	0.074	0.078	0.044	0.039	0.01	0.043	0.057	0.056	0.013	0.002	0.064	0.031
