## SPL DATA
	Standard	#1 Test	#2 Test	#3 Test	#4 Test	#5 Test	#6 Test	#7 Test	#8 Test	#9 Test	#10 Test	#1 Thường	#2 Thường	#3 Thường	#4 Thường	#5 Thường	#6 Thường	#7 Thường	#8 Thường	#9 Thường	#10 Thường
355	121.451	120.671	121.415	120.902	121.234	121.702	121.371	120.633	121.068	121.382	121.968	121.263	120.59	120.074	121.052	120.63	121.495	120.817	120.534	122.106	121.519
375	121.939	121.17	121.884	121.392	121.701	122.165	121.838	121.136	121.553	121.858	122.418	121.734	121.078	120.584	121.54	121.124	121.961	121.298	121.024	122.537	121.978
400	122.499	121.754	122.429	121.965	122.257	122.702	122.381	121.725	122.114	122.409	122.941	122.289	121.656	121.187	122.105	121.7	122.502	121.872	121.609	123.046	122.517
425	123.033	122.317	122.936	122.517	122.774	123.205	122.899	122.288	122.657	122.939	123.429	122.816	122.201	121.764	122.651	122.252	123.016	122.417	122.167	123.52	123.029
450	123.545	122.851	123.426	123.049	123.277	123.695	123.403	122.822	123.162	123.449	123.901	123.328	122.733	122.324	123.169	122.787	123.509	122.943	122.703	123.979	123.52
475	124.037	123.37	123.912	123.564	123.767	124.167	123.894	123.349	123.665	123.937	124.353	123.826	123.248	122.865	123.674	123.301	123.991	123.449	123.217	124.417	123.999
500	124.515	123.875	124.375	124.06	124.228	124.625	124.359	123.847	124.135	124.412	124.797	124.305	123.74	123.385	124.164	123.8	124.457	123.947	123.72	124.847	124.459
530	125.068	124.469	124.916	124.644	124.784	125.167	124.908	124.443	124.695	124.962	125.316	124.862	124.322	123.996	124.73	124.387	125.002	124.522	124.306	125.357	125.004
560	125.612	125.047	125.446	125.217	125.314	125.693	125.449	125.017	125.245	125.516	125.832	125.414	124.889	124.593	125.293	124.964	125.538	125.088	124.88	125.848	125.53
600	126.322	125.797	126.147	125.964	126.025	126.381	126.154	125.765	125.952	126.234	126.499	126.129	125.634	125.379	126.023	125.709	126.236	125.826	125.626	126.508	126.235
630	126.846	126.353	126.67	126.518	126.548	126.903	126.682	126.328	126.484	126.762	127.007	126.668	126.182	125.974	126.569	126.263	126.757	126.369	126.18	126.99	126.754
670	127.538	127.089	127.354	127.241	127.24	127.584	127.381	127.054	127.184	127.457	127.67	127.369	126.906	126.724	127.285	126.994	127.446	127.095	126.915	127.646	127.442
710	128.218	127.809	128.04	127.96	127.922	128.259	128.065	127.774	127.886	128.149	128.333	128.063	127.628	127.472	127.989	127.714	128.127	127.807	127.633	128.299	128.126
750	128.891	128.523	128.715	128.667	128.604	128.932	128.748	128.481	128.567	128.838	128.995	128.75	128.33	128.214	128.682	128.422	128.812	128.506	128.343	128.954	128.803
800	129.708	129.376	129.542	129.525	129.44	129.754	129.582	129.34	129.404	129.677	129.815	129.591	129.186	129.087	129.524	129.284	129.643	129.356	129.201	129.763	129.636
850	130.49	130.185	130.334	130.332	130.228	130.55	130.381	130.147	130.197	130.475	130.6	130.39	129.987	129.903	130.321	130.097	130.43	130.162	130.014	130.543	130.437
900	131.219	130.935	131.082	131.093	130.976	131.292	131.13	130.888	130.945	131.218	131.349	131.136	130.73	130.667	131.077	130.855	131.175	130.911	130.769	131.289	131.195
950	131.902	131.621	131.774	131.783	131.661	131.983	131.826	131.579	131.629	131.908	132.043	131.826	131.403	131.326	131.765	131.539	131.867	131.599	131.461	131.989	131.889
1000	132.502	132.214	132.381	132.379	132.26	132.581	132.424	132.17	132.223	132.514	132.66	132.428	131.987	131.904	132.356	132.131	132.471	132.191	132.041	132.607	132.488
1060	133.056	132.733	132.923	132.909	132.802	133.114	132.971	132.697	132.749	133.059	133.21	132.971	132.502	132.401	132.871	132.646	133.013	132.715	132.584	133.19	133.016
1120	133.36	133	133.212	133.178	133.082	133.389	133.258	132.962	133.024	133.338	133.511	133.26	132.757	132.645	133.122	132.912	133.302	132.99	132.849	133.505	133.281
1180	133.27	132.887	133.118	133.07	132.988	133.281	133.149	132.853	132.918	133.227	133.404	133.169	132.648	132.537	132.998	132.798	133.2	132.894	132.746	133.429	133.163
1250	132.681	132.296	132.512	132.467	132.379	132.659	132.542	132.264	132.311	132.633	132.792	132.576	132.056	131.96	132.389	132.206	132.597	132.319	132.149	132.815	132.534
1320	131.667	131.299	131.48	131.461	131.35	131.634	131.508	131.259	131.287	131.608	131.744	131.554	131.056	130.992	131.376	131.205	131.565	131.315	131.145	131.76	131.488
1400	130.213	129.872	130.007	130.021	129.878	130.154	130.033	129.824	129.822	130.152	130.254	130.097	129.624	129.593	129.944	129.772	130.095	129.874	129.707	130.252	130.012
1500	128.315	128.001	128.075	128.131	127.955	128.245	128.109	127.937	127.91	128.229	128.304	128.187	127.734	127.75	128.046	127.874	128.154	127.972	127.816	128.275	128.082
1600	126.541	126.249	126.268	126.368	126.166	126.439	126.313	126.176	126.135	126.445	126.485	126.41	125.978	126.028	126.28	126.111	126.361	126.208	126.058	126.452	126.282
1700	124.983	124.719	124.721	124.834	124.618	124.892	124.762	124.649	124.588	124.901	124.921	124.86	124.458	124.523	124.749	124.602	124.804	124.677	124.526	124.882	124.729
1800	123.656	123.435	123.416	123.549	123.305	123.605	123.453	123.355	123.287	123.596	123.61	123.56	123.169	123.249	123.487	123.322	123.499	123.38	123.236	123.55	123.44
1900	122.534	122.324	122.273	122.425	122.175	122.465	122.325	122.236	122.16	122.469	122.474	122.43	122.043	122.143	122.35	122.195	122.366	122.243	122.124	122.406	122.32
2000	121.554	121.336	121.279	121.444	121.183	121.469	121.322	121.244	121.16	121.479	121.467	121.435	121.057	121.166	121.366	121.197	121.366	121.26	121.127	121.398	121.323
2120	120.564	120.325	120.261	120.443	120.164	120.437	120.303	120.228	120.136	120.47	120.439	120.406	120.046	120.161	120.332	120.185	120.341	120.246	120.113	120.353	120.289
2240	119.686	119.47	119.402	119.588	119.292	119.589	119.431	119.372	119.248	119.607	119.567	119.521	119.177	119.316	119.442	119.319	119.476	119.374	119.256	119.45	119.422
2360	119.069	118.767	118.698	118.887	118.578	118.877	118.714	118.674	118.579	118.902	118.82	118.808	118.454	118.605	118.829	118.605	118.734	118.655	118.525	118.719	118.715
2500	118.307	118.056	117.972	118.21	117.852	118.267	118.015	117.974	117.992	118.273	118.191	118.208	117.832	117.916	118.201	117.995	118.158	117.916	117.8	118.124	118.161
2650	117.669	117.475	117.423	117.731	117.362	117.727	117.522	117.448	117.466	117.667	117.699	117.59	117.314	117.463	117.613	117.382	117.555	117.454	117.328	117.563	117.572
2800	117.193	117.078	117.021	117.308	116.888	117.069	117.075	116.993	116.973	117.251	117.184	117.184	116.842	116.927	116.971	116.902	117.117	116.952	116.828	117.105	117.008
