## 그래프
WF																													THD																													R&B

## SET GRAPH(전체)
〔bg=#FFF2CC,b〕WF																													〔bg=#FFF2CC,b〕THD																													〔bg=#FFF2CC,b〕R&B

## SET MASK
〔bg=#E2EFDA〕WF Mask							〔bg=#E2EFDA〕THD Mask			〔bg=#E2EFDA〕RnB Crest Mask			〔bg=#E2EFDA〕FFT MASK										〔bg=#E2EFDA〕MIC MASK				〔bg=#E2EFDA〕LOOP MASK		
	REF	UP	LOW	UP	LOW			Mask			Mask			Mask			REF	UP	LOW	+	-			UP	LOW			UP	LOW
678.911803730291	117.737183390747	119.737183390747	115.737183390747	2	-2											10949.6696192055	107.20478643497	112.20478643497	102.20478643497	5	-5								
688.429573574126	117.525022605	119.525022605	115.525022605	2	-2											10969.798869241	107.066808986116	112.066808986116	102.066808986116	5	-5								
698.080774509163	117.312716729357	119.312716729357	115.312716729357	2	-2											10989.9651237452	106.932981297045	111.932981297045	101.932981297045	5	-5								
707.867277126555	117.100325236582	119.100325236582	115.100325236582	2	-2											11010.168450745	106.803319095694	111.803319095694	101.803319095694	5	-5								
717.790978241568	116.887953973641	118.887953973641	114.887953973641	2	-2											11030.4089183924	106.677813975454	111.677813975454	101.677813975454	5	-5								
727.853801261212	116.675852100734	118.675852100734	114.675852100734	2	-2											11050.6865949648	106.556437494673	111.556437494673	101.556437494673	5	-5								
738.057696557039	116.464417071188	118.464417071188	114.464417071188	2	-2											11071.0015488647	106.439145710518	111.439145710518	101.439145710518	5	-5								
748.404641843164	116.254276288321	118.254276288321	114.254276288321	2	-2											11091.3538486208	106.325883402573	111.325883402573	101.325883402573	5	-5								
758.896642559581	116.045656069278	118.045656069278	114.045656069278	2	-2											11111.7435628875	106.216587283387	111.216587283387	101.216587283387	5	-5								
769.535732260857	115.838863426265	117.838863426265	113.838863426265	2	-2											11132.1707604456	106.111187839465	111.111187839465	101.111187839465	5	-5								
780.323973010279	115.634076926279	117.634076926279	113.634076926279	2	-2											11152.6355102022	106.009609896672	111.009609896672	101.009609896672	5	-5								
791.263455779517	115.431347481261	117.431347481261	113.431347481261	2	-2											11173.1378811912	105.911772325343	110.911772325343	100.911772325343	5	-5								
802.356300853897	115.230992143049	117.230992143049	113.230992143049	2	-2											11193.6779425732	105.817587387773	110.817587387773	100.817587387773	5	-5								
813.604658243354	115.033483923023	117.033483923023	113.033483923023	2	-2											11214.2557636362	105.726960135805	110.726960135805	100.726960135805	5	-5								
825.010708099145	114.839326753885	116.839326753885	112.839326753885	2	-2											11234.8714137954	105.63978810518	110.63978810518	100.63978810518	5	-5								
836.576661136408	114.64873763634	116.64873763634	112.64873763634	2	-2											11255.5249625936	105.555961408428	110.555961408428	100.555961408428	5	-5								
848.304759062637	114.461901664627	116.461901664627	112.461901664627	2	-2											11276.2164797016	105.475363221368	110.475363221368	100.475363221368	5	-5								
860.19727501217	114.279227046918	116.279227046918	112.279227046918	2	-2											11296.9460349181	105.397870584953	110.397870584953	100.397870584953	5	-5								
872.256513986771	114.100944335917	116.100944335917	112.100944335917	2	-2											11317.7136981703	105.32335540644	110.32335540644	100.32335540644	5	-5								
884.484813302378	113.927291275442	115.927291275442	111.927291275442	2	-2											11338.5195395137	105.251685548039	110.251685548039	100.251685548039	5	-5								
896.884543042126	113.75830270066	115.75830270066	111.75830270066	2	-2											11359.3636291329	105.182725930994	110.182725930994	100.182725930994	5	-5								
909.458106515712	113.593323752681	115.593323752681	111.593323752681	2	-2											11380.2460373412	105.116339639159	110.116339639159	100.116339639159	5	-5								
922.207940725202	113.432805121361	115.432805121361	111.432805121361	2	-2											11401.1668345815	105.052389057103	110.052389057103	100.052389057103	5	-5								
935.136516837376	113.278345871835	115.278345871835	111.278345871835	2	-2											11422.1260914258	104.990737103686	109.990737103686	99.9907371036856	5	-5								
948.246340662682	113.131802332008	115.131802332008	111.131802332008	2	-2											11443.1238785762	104.931248608473	109.931248608473	99.9312486084727	5	-5								
961.539953140913	112.995360982495	114.995360982495	110.995360982495	2	-2											11464.1602668645	104.873791829772	109.873791829772	99.8737918297723	5	-5								
975.019930833691	112.870077601476	114.870077601476	110.870077601476	2	-2											11485.235327253	104.818240053761	109.818240053761	99.8182400537608	5	-5								
