## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
		〔bg=#F4B084〕VP #7( Improve)		〔bg=#F4B084〕3/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕130	〔bg=#F4B084,fg=#FF0000〕21.7%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕130	〔bg=#F4B084,fg=#FF0000〕21.7%	467	0	1	0	0	16	0	17	〔fg=#FF0000〕3.6%	
		VP #9( Improve)		3/8	600	0	10	〔fg=#FF0000〕1.7%		〔fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	583	0	0	0	0	14	5	19	〔fg=#FF0000〕3.3%	
		VP#10( Improve)		3/7	600	1	17	〔fg=#FF0000〕2.8%		〔fg=#FF0000〕0.0%	18	〔fg=#FF0000〕3.0%	585	1	0	1	0	18	0	20	〔fg=#FF0000〕3.4%	
7/10/2024	E2-3B			6/7	1200	〔bg=#FF0000〕1	33	〔fg=#FF0000〕2.8%		〔fg=#FF0000〕0.0%	41	〔fg=#FF0000〕3.4%	1142	1	0	3	0	30	10	44	〔fg=#FF0000〕3.9%	
		VP #3( Dry 150⁰C, 1hour)		6/7	1200	0	20	〔fg=#FF0000〕1.7%		〔fg=#FF0000〕0.0%	23	〔fg=#FF0000〕1.9%	1171	0	0	1	0	37	0	38	〔fg=#FF0000〕3.2%	
		VP #6( Dry 150⁰C, 1hour)		6/7	1200	0	21	〔fg=#FF0000〕1.8%		〔fg=#FF0000〕0.0%	24	〔fg=#FF0000〕2.0%	1151	1	0	2	0	35	3	41	〔fg=#FF0000〕3.6%	
		VP #7( Dry 150⁰C, 1hour)		6/7	1200	0	47	〔fg=#FF0000〕3.9%		〔fg=#FF0000〕0.0%	47	〔fg=#FF0000〕3.9%	1187	2	0	0	1	35	8	46	〔fg=#FF0000〕3.9%	
		〔bg=#F4B084〕VP #8( Dry 150⁰C, 1hour)		〔bg=#F4B084〕6/7	〔bg=#F4B084〕1200	〔bg=#F4B084〕0	〔bg=#F4B084〕205	〔bg=#F4B084,fg=#FF0000〕17.1%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕206	〔bg=#F4B084,fg=#FF0000〕17.2%	943	0	0	0	1	31	10	42	〔fg=#FF0000〕4.5%	
		〔bg=#F4B084〕VP #9( Dry 150⁰C, 1hour)		〔bg=#F4B084〕6/7	〔bg=#F4B084〕1200	〔bg=#F4B084〕0	〔bg=#F4B084〕192	〔bg=#F4B084,fg=#FF0000〕16.0%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕193	〔bg=#F4B084,fg=#FF0000〕16.1%	981	2	0	1	0	25	5	33	〔fg=#FF0000〕3.4%	
		VP#10( Dry 150⁰C, 1hour)		6/7	1200	0	18	〔fg=#FF0000〕1.5%		〔fg=#FF0000〕0.0%	18	〔fg=#FF0000〕1.5%	1149	0	1	0	0	37	0	38	〔fg=#FF0000〕3.3%	
7/11/2024	E2-3B			3/7	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%								0	〔fg=#FF0000〕#DIV/0!	
		VP #3 (Khay 2)		3/7	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%								0	〔fg=#FF0000〕#DIV/0!	
		VP #3 (Khay 3)		3/7	600	0	20	〔fg=#FF0000〕3.3%		〔fg=#FF0000〕0.0%	22	〔fg=#FF0000〕3.7%								0	〔fg=#FF0000〕#DIV/0!	
		VP #3 (Khay 4)		3/7	600	0	9	〔fg=#FF0000〕1.5%		〔fg=#FF0000〕0.0%	9	〔fg=#FF0000〕1.5%								0	〔fg=#FF0000〕#DIV/0!	
				6/7	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%								0	〔fg=#FF0000〕#DIV/0!	
		VP #3 ( Dry 150⁰C, 1hour) (Khay 2)		6/7	600	0	39	〔fg=#FF0000〕6.5%		〔fg=#FF0000〕0.0%	47	〔fg=#FF0000〕7.8%										
		VP #3 ( Dry 150⁰C, 1hour) (Khay 3)		6/7	600	0	79	〔fg=#FF0000〕13.2%		〔fg=#FF0000〕0.0%	80	〔fg=#FF0000〕13.3%								0	〔fg=#FF0000〕#DIV/0!	
		VP #3 ( Dry 150⁰C, 1hour) (Khay 4)		6/7	600	0	35	〔fg=#FF0000〕5.8%		〔fg=#FF0000〕0.0%	35	〔fg=#FF0000〕5.8%								0	〔fg=#FF0000〕#DIV/0!	
7/12/2024	E2-3B	VP #3 ( Special lot)		3/7	6290	0	91	〔fg=#FF0000〕1.4%		〔fg=#FF0000〕0.0%	91	〔fg=#FF0000〕1.4%								0	〔fg=#FF0000〕#DIV/0!	
		VP #6 ( Special lot)		3/7	3940	0	134	〔fg=#FF0000〕3.4%		〔fg=#FF0000〕0.0%	134	〔fg=#FF0000〕3.4%								0	〔fg=#FF0000〕#DIV/0!	
		VP #9 ( Special lot)		3/7	932	0	7	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕0.8%								0	〔fg=#FF0000〕#DIV/0!	
7/13/2024	E2-3B	VP #2 ( Special lot)		3/7	500	0	37	〔fg=#FF0000〕7.4%		〔fg=#FF0000〕0.0%	37	〔fg=#FF0000〕7.4%								0	〔fg=#FF0000〕#DIV/0!	
		VP #6( Special lot)		3/7	1697	0	105	〔fg=#FF0000〕6.2%		〔fg=#FF0000〕0.0%	105	〔fg=#FF0000〕6.2%								0	〔fg=#FF0000〕#DIV/0!	
		VP #8( Special lot)		3/7	360	0	157	〔fg=#FF0000〕43.6%		〔fg=#FF0000〕0.0%	157	〔fg=#FF0000〕43.6%								0	〔fg=#FF0000〕#DIV/0!	
15/7 ~17/7	E2-3A	〔bg=#F4B084〕VP #2 		〔bg=#F4B084〕10/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕205	〔bg=#F4B084,fg=#FF0000〕34.2%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕205	〔bg=#F4B084,fg=#FF0000〕34.2%	391	0	0	1	1	7	0	9	〔fg=#FF0000〕2.3%	
		VP #3 		10/7	600	0	31	〔fg=#FF0000〕5.2%		〔fg=#FF0000〕0.0%	31	〔fg=#FF0000〕5.2%	559	1	0	1	0	19	10	31	〔fg=#FF0000〕5.5%	
		VP #6		10/7	600	0	56	〔fg=#FF0000〕9.3%		〔fg=#FF0000〕0.0%	56	〔fg=#FF0000〕9.3%	543	0	0	0	0	18	15	33	〔fg=#FF0000〕6.1%	
		〔bg=#F4B084〕VP #7		〔bg=#F4B084〕10/7	〔bg=#F4B084〕600	〔bg=#F4B084〕1	〔bg=#F4B084〕226	〔bg=#F4B084,fg=#FF0000〕37.7%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕227	〔bg=#F4B084,fg=#FF0000〕37.8%	260	0	0	0	0	12	0	12	〔fg=#FF0000〕4.6%	
		〔bg=#F4B084〕VP #8		〔bg=#F4B084〕10/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕334	〔bg=#F4B084,fg=#FF0000〕55.7%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕334	〔bg=#F4B084,fg=#FF0000〕55.7%	296	0	0	0	0	10	8	18	〔fg=#FF0000〕6.1%	
		VP #9		10/7	600	0	65	〔fg=#FF0000〕10.8%		〔fg=#FF0000〕0.0%	66	〔fg=#FF0000〕11.0%	548	1	0	0	0	12	7	20	〔fg=#FF0000〕3.6%	
		VP #10		10/7	600	0	52	〔fg=#FF0000〕8.7%		〔fg=#FF0000〕0.0%	52	〔fg=#FF0000〕8.7%	598	2	0	0	0	18	0	20	〔fg=#FF0000〕3.3%	
