## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
		VP #12	 IR241011033	11/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	600	0	0	1	0	17	0	18	〔fg=#FF0000〕3.0%	
10/16/2024	C2-3A	VP #4	 IR241011033	11/10	600	0	8	〔bg=#9BC2E6,fg=#FF0000〕1.3%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	18	〔fg=#FF0000〕3.0%	557	0	0	2	0	4	0	6	〔fg=#FF0000〕1.1%	
		VP #6	 IR241011033	11/10	600	1	14	〔bg=#9BC2E6,fg=#FF0000〕2.3%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	17	〔fg=#FF0000〕2.8%	565	0	0	1	0	5	2	8	〔fg=#FF0000〕1.4%	
		VP #7	 IR241011033	11/10	600	0	101	〔bg=#9BC2E6,fg=#FF0000〕16.8%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	103	〔fg=#FF0000〕17.2%	483	0	0	0	0	4	1	5	〔fg=#FF0000〕1.0%	
		VP #8	 IR241011033	11/10	600	2	100	〔bg=#9BC2E6,fg=#FF0000〕16.7%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	107	〔fg=#FF0000〕17.8%	493	0	0	0	0	3	1	4	〔fg=#FF0000〕0.8%	
		VP #11	 IR241011033	11/10	600	2	41	〔bg=#9BC2E6,fg=#FF0000〕6.8%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	44	〔fg=#FF0000〕7.3%	550	0	0	0	0	2	0	2	〔fg=#FF0000〕0.4%	
		VP #12	 IR241011033	11/10	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	12	〔fg=#FF0000〕2.0%	590	0	0	0	0	2	0	2	〔fg=#FF0000〕0.3%	
10/18/2024	E2-3A	VP #2	 IR241016005	16/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	590	2	0	0	0	17	0	19	〔fg=#FF0000〕3.2%	
		VP #3	 IR241016005	16/10	600	0	6	〔bg=#9BC2E6,fg=#FF0000〕1.0%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	574	0	0	0	0	15	0	15	〔fg=#FF0000〕2.6%	
		VP #4	 IR241016005	16/10	600	0	10	〔bg=#9BC2E6,fg=#FF0000〕1.7%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	12	〔fg=#FF0000〕2.0%	596	1	0	0	0	17	0	18	〔fg=#FF0000〕3.0%	
		VP #5	 IR241016005	16/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	564	1	0	0	0	15	0	16	〔fg=#FF0000〕2.8%	
		VP #6	 IR241016005	16/10	600	0	5	〔bg=#9BC2E6,fg=#FF0000〕0.8%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	593	0	0	0	1	16	0	17	〔fg=#FF0000〕2.9%	
		VP #7	 IR241016005	16/10	600	0	6	〔bg=#9BC2E6,fg=#FF0000〕1.0%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	570	1	0	0	2	10	5	18	〔fg=#FF0000〕3.2%	
		VP #8	 IR241016005	16/10	600	0	7	〔bg=#9BC2E6,fg=#FF0000〕1.2%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	575	0	0	0	0	9	8	17	〔fg=#FF0000〕3.0%	
		VP #9	 IR241016005	16/10	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	575	1	0	1	0	13	0	15	〔fg=#FF0000〕2.6%	
10/23/2024	C2-3A	VP #2	 IR241018004	18/10	600	2	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	589	0	0	0	0	10	6	16	〔fg=#FF0000〕2.7%	
		VP #3	 IR241018004	18/10	600	4	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	589	1	0	0	0	5	1	7	〔fg=#FF0000〕1.2%	
		VP #4	 IR241018004	18/10	600	1	7	〔bg=#9BC2E6,fg=#FF0000〕1.2%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	583	0	0	0	0	10	0	10	〔fg=#FF0000〕1.7%	
		VP #6	 IR241018004	18/10	600	2	7	〔bg=#9BC2E6,fg=#FF0000〕1.2%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	571	0	0	0	5	5	1	11	〔fg=#FF0000〕1.9%	
		VP #7	 IR241018004	18/10	600	5	149	〔bg=#9BC2E6,fg=#FF0000〕24.8%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	160	〔fg=#FF0000〕26.7%	431	1	0	0	1	5	2	9	〔fg=#FF0000〕2.1%	
		VP #8	 IR241018004	18/10	600	1	135	〔bg=#9BC2E6,fg=#FF0000〕22.5%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	136	〔fg=#FF0000〕22.7%	411	1	0	0	0	4	2	7	〔fg=#FF0000〕1.7%	
		VP #9	 IR241018004	18/10	600	8	10	〔bg=#9BC2E6,fg=#FF0000〕1.7%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	19	〔fg=#FF0000〕3.2%	551	0	0	0	0	10	5	15	〔fg=#FF0000〕2.7%	
		VP #10	 IR241018004	18/10	600	6	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	567	1	0	1	0	6	1	9	〔fg=#FF0000〕1.6%	
		VP #11	 IR241018004	18/10	600	2	15	〔bg=#9BC2E6,fg=#FF0000〕2.5%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	20	〔fg=#FF0000〕3.3%	574	0	0	0	0	8	3	11	〔fg=#FF0000〕1.9%	
		VP #12	 IR241018004	18/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	579	0	0	1	0	10	2	13	〔fg=#FF0000〕2.2%	
10/23/2024	E2-3B	VP #2	 IR241018004	18/10	600	0	4	〔bg=#9BC2E6,fg=#FF0000〕0.7%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	589	0	0	1	1	18	0	20	〔fg=#FF0000〕3.4%	
		VP #3	 IR241018004	18/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	590	0	0	0	0	20	0	20	〔fg=#FF0000〕3.4%	
		VP #4	 IR241018004	18/10	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	592	0	1	0	0	17	0	18	〔fg=#FF0000〕3.0%	
		VP #6	 IR241018004	18/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	594	0	0	0	0	20	0	20	〔fg=#FF0000〕3.4%	
		VP #7	 IR241018004	18/10	600	0	18	〔bg=#9BC2E6,fg=#FF0000〕3.0%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	21	〔fg=#FF0000〕3.5%	341	0	0	0	0	11	0	11	〔fg=#FF0000〕3.2%	
		VP #8	 IR241018004	18/10	600	0	29	〔bg=#9BC2E6,fg=#FF0000〕4.8%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	30	〔fg=#FF0000〕5.0%	551	0	0	0	0	13	5	18	〔fg=#FF0000〕3.3%	
		VP #9	 IR241018004	18/10	600	0	6	〔bg=#9BC2E6,fg=#FF0000〕1.0%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	16	〔fg=#FF0000〕2.7%	572	0	0	1	0	14	4	19	〔fg=#FF0000〕3.3%	
		VP #10	 IR241018004	18/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	587	0	0	0	1	10	3	14	〔fg=#FF0000〕2.4%	
		VP #11	 IR241018004	18/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	597	0	0	0	0	10	5	15	〔fg=#FF0000〕2.5%	
		VP #12	 IR241018004	18/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	597	0	0	0	0	12	0	12	〔fg=#FF0000〕2.0%	
10/26/2024	E2-3A	VP #2	 IR241023048	23/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	563	1	1	0	0	29	6	37	〔fg=#FF0000〕6.6%	
		VP #3	 IR241023048	23/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	354	0	0	0	0	11	0	11	〔fg=#FF0000〕3.1%	
		VP #4	 IR241023048	23/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	592	0	0	0	0	16	4	20	〔fg=#FF0000〕3.4%	
		VP #6	 IR241023048	23/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	590	0	0	0	0	10	5	15	〔fg=#FF0000〕2.5%	
		VP #7	 IR241023048	23/10	600	0	34	〔bg=#9BC2E6,fg=#FF0000〕5.7%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	35	〔fg=#FF0000〕5.8%	562	0	0	0	0	20	0	20	〔fg=#FF0000〕3.6%	
		VP #8	 IR241023048	23/10	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	594	0	0	0	1	21	0	22	〔fg=#FF0000〕3.7%	
		VP #10	 IR241023048	23/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	573	0	0	1	0	15	3	19	〔fg=#FF0000〕3.3%	
		VP #11	 IR241023048	23/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	598	0	0	0	0	20	1	21	〔fg=#FF0000〕3.5%	
10/31/2024	C2-3B	VP #2	 IR241025044	25/10	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%								0	〔fg=#FF0000〕#DIV/0!	
		VP #4	 IR241025044	25/10	600	8	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%								0	〔fg=#FF0000〕#DIV/0!	
		VP #5	 IR241025044	25/10	600	2	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%								0	〔fg=#FF0000〕#DIV/0!	
		VP #7	 IR241025044	25/10	600	3	10	〔fg=#FF0000〕1.7%		〔fg=#FF0000〕0.0%	20	〔fg=#FF0000〕3.3%								0	〔fg=#FF0000〕#DIV/0!	
		VP #8	 IR241025044	25/10	600	9	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	21	〔fg=#FF0000〕3.5%								0	〔fg=#FF0000〕#DIV/0!	
		VP #9	 IR241025044	25/10	600	2	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%								0	〔fg=#FF0000〕#DIV/0!	
		VP #10	 IR241025044	25/10	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%								0	〔fg=#FF0000〕#DIV/0!	
		VP #11	 IR241025044	25/10	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%								0	〔fg=#FF0000〕#DIV/0!	
10/31/2024	E2-3A	VP #2	 IR241025044	25/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	598	0	0	1	0	14	6	21	〔fg=#FF0000〕3.5%	
		VP #4	 IR241025044	25/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	598	1	0	0	1	19	0	21	〔fg=#FF0000〕3.5%	
		VP #5	 IR241025044	25/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	597	0	0	0	0	15	6	21	〔fg=#FF0000〕3.5%	
		VP #7	 IR241025044	25/10	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	592	0	0	0	1	14	6	21	〔fg=#FF0000〕3.5%	
		VP #8	 IR241025044	25/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	575	0	0	1	1	15	1	18	〔fg=#FF0000〕3.1%	
		VP #9	 IR241025044	25/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	581	0	0	0	0	15	2	17	〔fg=#FF0000〕2.9%	
		VP #10	 IR241025044	25/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	590	0	0	0	0	17	0	17	〔fg=#FF0000〕2.9%	
		VP #11	 IR241025044	25/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	589	0	0	0	0	16	0	16	〔fg=#FF0000〕2.7%	
11/2/2024	E2-3A	VP #3	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	594	0	0	0	1	20	0	21	〔fg=#FF0000〕3.5%	
		VP #4	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	594	0	0	0	1	18	0	19	〔fg=#FF0000〕3.2%	
		VP #5	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	596	0	0	0	0	19	0	19	〔fg=#FF0000〕3.2%	
		VP #6	 IR241030026	30/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	596	0	0	0	0	20	0	20	〔fg=#FF0000〕3.4%	
		VP #8	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	592	0	0	0	1	18	0	19	〔fg=#FF0000〕3.2%	
		VP #9	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	587	0	0	0	0	12	0	12	〔fg=#FF0000〕2.0%	
		VP #10	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	600	0	0	0	1	12	6	19	〔fg=#FF0000〕3.2%	
		VP #11	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	584	1	0	0	0	10	8	19	〔fg=#FF0000〕3.3%	
		VP #12	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	597	0	0	0	0	9	4	13	〔fg=#FF0000〕2.2%	
11/2/2024	C2-3B	VP #3	 IR241030026	30/10	600	1	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	551	0	0	0	0	4	2	6	〔fg=#FF0000〕1.1%	
		VP #4	 IR241030026	30/10	600	3	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	551	0	0	0	0	5	1	6	〔fg=#FF0000〕1.1%	
		VP #5	 IR241030026	30/10	600	4	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	577	0	0	0	0	4	3	7	〔fg=#FF0000〕1.2%	
		VP #6	 IR241030026	30/10	600	2	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	555	0	0	0	0	5	3	8	〔fg=#FF0000〕1.4%	
		VP #8	 IR241030026	30/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	596	0	0	0	0	8	2	10	〔fg=#FF0000〕1.7%	
		VP #9	 IR241030026	30/10	600	4	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	579	0	0	0	0	13	3	16	〔fg=#FF0000〕2.8%	
		VP #10	 IR241030026	30/10	600	2	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	583	0	0	0	0	6	3	9	〔fg=#FF0000〕1.5%	
		VP #11	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	595	0	0	0	0	9	1	10	〔fg=#FF0000〕1.7%	
		VP #12	 IR241030026	30/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	600	0	0	0	0	2	0	2	〔fg=#FF0000〕0.3%	
11/5/2024	C2-3B	VP #3	 IR241030026	1/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	590	0	0	0	0	8	0	8	〔fg=#FF0000〕1.4%	
		VP #4	 IR241030026	1/11	600	3	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	590	0	0	0	0	23	0	23	〔fg=#FF0000〕3.9%	
		VP #5	 IR241030026	1/11	600	3	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	585	0	0	0	0	8	2	10	〔fg=#FF0000〕1.7%	
		VP #6	 IR241030026	1/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	586	0	0	0	0	6	1	7	〔fg=#FF0000〕1.2%	
		VP #9	 IR241030026	1/11	600	0	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	586	0	0	0	0	8	0	8	〔fg=#FF0000〕1.4%	
		VP #10	 IR241030026	1/11	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	594	0	0	0	0	16	3	19	〔fg=#FF0000〕3.2%	
		VP #11	 IR241030026	1/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	593	0	0	0	0	8	3	11	〔fg=#FF0000〕1.9%	
		VP #12	 IR241030026	1/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	593	0	0	0	0	8	0	8	〔fg=#FF0000〕1.3%	
11/19/2024	E2-3A	VP #2	 IR241030026	13/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	585	0	1	0	0	13	3	17	〔fg=#FF0000〕2.9%	
		VP #3	 IR241030026	13/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	596	0	0	0	1	15	2	18	〔fg=#FF0000〕3.0%	
		VP #5	 IR241030026	13/11	600	0	9	〔fg=#FF0000〕1.5%		〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	478	0	0	0	0	10	1	11	〔fg=#FF0000〕2.3%	
		VP #6	 IR241030026	13/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	434	0	0	1	0	11	1	13	〔fg=#FF0000〕3.0%	
		VP #7	 IR241030026	13/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	600	0	0	0	1	14	0	15	〔fg=#FF0000〕2.5%	
		VP #9	 IR241030026	13/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	567	0	0	0	0	6	3	9	〔fg=#FF0000〕1.6%	
		VP #10	 IR241030026	13/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	599	0	0	0	1	13	0	14	〔fg=#FF0000〕2.3%	
		VP #11	 IR241030027	13/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	597	0	0	0	1	20	0	21	〔fg=#FF0000〕3.5%	
		VP #12	 IR241030026	13/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	589	0	1	0	0	10	4	15	〔fg=#FF0000〕2.5%	
11/21/2024	C2-3A	VP #2	 IR241115040	15/11	600	4	20	〔fg=#FF0000〕3.3%		〔fg=#FF0000〕0.0%	31	〔fg=#FF0000〕5.2%	548	0	0	0	0	14	2	16	〔fg=#FF0000〕2.9%	
		VP #3	 IR241115040	15/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	577	0	0	0	0	8	1	9	〔fg=#FF0000〕1.6%	
		VP #4	 IR241030026	15/11	600	4	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	590	0	0	0	0	9	3	12	〔fg=#FF0000〕2.0%	
		VP #5	 IR241030026	15/11	600	6	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	9	〔fg=#FF0000〕1.5%	589	0	0	0	0	13	2	15	〔fg=#FF0000〕2.5%	
		VP #6	 IR241030026	15/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	592	0	0	0	0	12	3	15	〔fg=#FF0000〕2.5%	
		VP #7	 IR241030026	15/11	600	0	14	〔fg=#FF0000〕2.3%		〔fg=#FF0000〕0.0%	18	〔fg=#FF0000〕3.0%	580	0	0	0	0	13	4	17	〔fg=#FF0000〕2.9%	
		VP #8	 IR241030026	15/11	600	2	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	590	0	0	0	0	7	0	7	〔fg=#FF0000〕1.2%	
		VP #10	 IR241030026	15/11	600	8	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	21	〔fg=#FF0000〕3.5%	575	0	0	0	0	14	2	16	〔fg=#FF0000〕2.8%	
		VP #11	 IR241030027	15/11	600	1	9	〔fg=#FF0000〕1.5%		〔fg=#FF0000〕0.0%	13	〔fg=#FF0000〕2.2%	577	0	0	0	0	11	4	15	〔fg=#FF0000〕2.6%	
		VP #12	 IR241030026	15/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	590	0	0	0	0	7	0	7	〔fg=#FF0000〕1.2%	
11/21/2024	E2-3A	VP #2	 IR241115040	15/11	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	533	1	0	1	0	17	0	19	〔fg=#FF0000〕3.6%	
		VP #3	 IR241115040	15/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	600	1	0	1	0	23	0	25	〔fg=#FF0000〕4.2%	
		VP #4	 IR241115040	15/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	598	1	0	0	2	18	0	21	〔fg=#FF0000〕3.5%	
		VP #5	 IR241115040	15/11	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	600	1	0	0	2	18	0	21	〔fg=#FF0000〕3.5%	
		VP #6	 IR241115040	15/11	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	599	0	0	3	6	20	0	29	〔fg=#FF0000〕4.8%	
		VP #7	 IR241115040	15/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	568	0	0	1	3	22	0	26	〔fg=#FF0000〕4.6%	
		VP #8	 IR241115040	15/11	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	595	0	0	1	2	25	3	31	〔fg=#FF0000〕5.2%	
		VP #10	 IR241115040	15/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	580	0	0	5	3	24	8	40	〔fg=#FF0000〕6.9%	
		VP #11	 IR241115040	15/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	593	0	0	1	2	12	2	17	〔fg=#FF0000〕2.9%	
		VP #12	 IR241115040	15/11	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	581	0	0	4	0	16	0	20	〔fg=#FF0000〕3.4%	
11/26/2024	E2-3A	VP #2	 IR241120016	20/11	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	573	2	0	0	2	17	1	22	〔fg=#FF0000〕3.8%	
		VP #3	 IR241120016	20/11	600	0	9	〔fg=#FF0000〕1.5%		〔fg=#FF0000〕0.0%	9	〔fg=#FF0000〕1.5%	546	0	0	0	1	12	1	14	〔fg=#FF0000〕2.6%	
		VP #4	 IR241120016	20/11	600	0	6	〔fg=#FF0000〕1.0%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	594	0	0	1	0	12	0	13	〔fg=#FF0000〕2.2%	
