HZ	〔b〕OK										〔b〕편심											HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
	〔bg=#F2DCDB〕# 1	〔bg=#F2DCDB〕# 2	〔bg=#F2DCDB〕# 3	〔bg=#F2DCDB〕# 4	〔bg=#F2DCDB〕# 5	〔bg=#F2DCDB〕# 6	〔bg=#F2DCDB〕# 7	〔bg=#F2DCDB〕# 8	〔bg=#F2DCDB〕# 9	〔bg=#F2DCDB〕# 10	〔bg=#DCE6F1〕# 1	〔bg=#DCE6F1〕# 2	〔bg=#DCE6F1〕# 3	〔bg=#DCE6F1〕# 4	〔bg=#DCE6F1〕# 5	〔bg=#DCE6F1〕# 6	〔bg=#DCE6F1〕# 7	〔bg=#DCE6F1〕# 8	〔bg=#DCE6F1〕# 9	〔bg=#DCE6F1〕# 10	〔bg=#DCE6F1〕# 11	HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
100	82.926	82.152	82.504	82.588	83.146	82.208	82.315	83.078	83.02	84.096	83.95	83.678	83.624	85.414	82.442	83.888	83.804	83.223	83.731	83.239	83.34	100	84.096	82.152	85.414	82.442		1.944	2.97200000000001
106	82.871	82.438	82.704	82.896	83.433	81.972	82.555	83.326	83.395	84.492	84.042	83.832	84.067	85.584	82.597	84.005	84.132	83.407	83.732	83.052	83.529	106	84.492	81.972	85.584	82.597		2.52000000000001	2.98700000000001
112	83.156	82.843	82.913	82.738	83.671	82.416	82.75	83.237	83.744	84.587	84.358	84.045	84.297	85.903	83.163	84.284	84.251	83.496	84.032	83.483	83.818	112	84.587	82.416	85.903	83.163		2.17100000000001	2.74000000000001
118	83.37	82.995	83.019	83.125	83.943	82.538	83.095	83.587	83.625	84.783	84.51	84.291	84.435	85.94	83.26	84.374	84.433	83.808	84.285	83.548	83.875	118	84.783	82.538	85.94	83.26		2.245	2.67999999999999
125	83.645	83.122	83.093	83.523	84.011	82.902	82.95	83.847	84.025	84.997	84.657	84.712	84.618	86.263	83.461	84.766	84.624	83.808	84.476	83.931	84.07	125	84.997	82.902	86.263	83.461		2.095	2.80200000000001
132	83.837	83.249	83.453	83.607	84.221	83.104	83.265	84.182	84.143	85.211	84.788	84.66	84.836	86.302	83.525	84.782	84.945	84.092	84.677	84.098	84.336	132	85.211	83.104	86.302	83.525		2.107	2.777
140	84.183	83.472	83.441	83.835	84.242	83.404	83.507	84.46	84.352	85.322	84.923	84.916	85.12	86.537	83.611	85.083	84.915	84.33	84.774	84.19	84.467	140	85.322	83.404	86.537	83.611		1.91800000000001	2.926
150	84.176	83.579	83.639	83.932	84.429	83.499	83.615	84.469	84.646	85.506	85.101	85.193	85.263	86.639	83.962	85.266	85.192	84.389	85.03	84.497	84.614	150	85.506	83.499	86.639	83.962		2.00700000000001	2.67699999999999
160	84.346	83.749	83.682	84.113	84.666	83.635	83.783	84.972	84.728	85.642	85.209	85.36	85.444	86.913	84.04	85.286	85.414	84.598	85.23	84.687	84.936	160	85.642	83.635	86.913	84.04		2.00699999999999	2.87299999999999
170	84.379	83.855	83.973	84.225	84.664	83.791	83.945	85.021	85.029	85.791	85.341	85.497	85.601	86.985	84.24	85.328	85.419	84.814	85.366	84.7	84.908	170	85.791	83.791	86.985	84.24		2	2.745
180	84.622	83.796	83.806	84.338	84.792	83.956	84.057	85.194	85.075	85.892	85.415	85.55	85.743	87.03	84.309	85.483	85.478	84.749	85.413	84.91	85.07	180	85.892	83.796	87.03	84.309		2.09599999999999	2.721
