## SPL
Hz	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10			
〔bg=#FFFF00〕18.75	〔bg=#FFFF00〕91.8510199439916	〔bg=#FFFF00〕91.9494605707397	〔bg=#FFFF00〕91.8517211410141	〔bg=#FFFF00〕92.0289141515426	〔bg=#FFFF00〕92.1122435061213	〔bg=#FFFF00〕92.3730912457448	〔bg=#FFFF00〕92.5959210258593	〔bg=#FFFF00〕92.2253653593499	〔bg=#FFFF00〕92.4333475703213	〔bg=#FFFF00〕92.3087676129766	〔bg=#FFFF00〕92.5959210258593	〔bg=#FFFF00〕91.8510199439916	〔bg=#FFFF00〕0.744901081867695
131.850526024385	115.260865661199	115.217793152426	114.935250014415	115.179670967555	115.185733417525	115.062548562959	115.13797550474	115.038336267338	115.130098052452	115.466517134592	115.466517134592	114.935250014415	0.531267120176693
133.520178068982	115.348446704721	115.305700552881	115.026013391902	115.269223468827	115.278582479102	115.153547821646	115.226108361499	115.130337555612	115.21830996977	115.561745362998	115.561745362998	115.026013391902	0.535731971096197
135.210973282544	115.493454824813	115.450949690766	115.186314916998	115.424161814055	115.44613318218	115.30523915556	115.379672789246	115.286187711406	115.36479653662	115.732123357198	115.732123357198	115.186314916998	0.545808440200062
136.923179405646	115.607885038751	115.567100154523	115.311234370456	115.546334013355	115.578725004523	115.425808613263	115.502748745985	115.407006572167	115.481255488842	115.865009044868	115.865009044868	115.311234370456	0.553774674411827
138.657067569315	115.741280772851	115.708806478174	115.449713748859	115.688758005666	115.735297546583	115.568959410223	115.652992093694	115.539176851022	115.619705701428	116.013922808707	116.013922808707	115.449713748859	0.564209059848096
140.412912337974	115.881622659581	115.855838447057	115.594209074925	115.837148993874	115.897192308958	115.718048362949	115.80846032705	115.678162422165	115.764640829651	116.169046406003	116.169046406003	115.594209074925	0.574837331077433
142.190991752914	116.008466103613	115.980489500369	115.718868074945	115.963104778115	116.029411750241	115.849539136634	115.938571268522	115.803048540852	115.894626027789	116.301354705846	116.301354705846	115.718868074945	0.58248663090113
143.991587376321	116.161233746902	116.130989089508	115.868993564498	116.113954935044	116.18687509156	116.007727662404	116.095121395694	115.952924574886	116.051335137692	116.457627524206	116.457627524206	115.868993564498	0.588633959708844
145.814984335868	116.279646485739	116.242614526793	115.994976398281	116.23135485364	116.306620514982	116.123834056682	116.210585912768	116.076431066341	116.168518589809	116.576239915761	116.576239915761	115.994976398281	0.581263517480153
147.661471369861	116.425635975776	116.376663430262	116.149450710557	116.374008283222	116.446524719641	116.262269492497	116.347041288518	116.22960825138	116.310584881806	116.721888710009	116.721888710009	116.149450710557	0.572437999452035
149.531340872962	116.539559057397	116.486766124298	116.263690052639	116.484301160334	116.538597291811	116.362451282665	116.451373906965	116.342134340536	116.41905202124	116.834404948184	116.834404948184	116.263690052639	0.570714895544626
151.42488894249	116.670962207351	116.616517293505	116.397540524724	116.613316124475	116.646895280513	116.478420049547	116.574478535297	116.473534522473	116.543851842587	116.96164901613	116.96164901613	116.397540524724	0.564108491405946
153.342415425311	116.778953402031	116.723731034717	116.501025154262	116.718546833822	116.739295912403	116.57958174506	116.678313383345	116.585172250157	116.647326081804	117.060072547485	117.060072547485	116.501025154262	0.55904739322277
155.284223965316	116.899788045862	116.844847989492	116.610994343276	116.834349343959	116.835535696444	116.690353902368	116.791766313225	116.70448952487	116.760808385258	117.171357873741	117.171357873741	116.610994343276	0.560363530465636
157.250622051504	117.012211113143	116.958153490179	116.717251472631	116.943354220047	116.93691236492	116.796399908079	116.897907393539	116.812722858831	116.861470907471	117.277639472168	117.277639472168	116.717251472631	0.560387999536275
159.241921066677	117.128774215789	117.075591995632	116.833236899756	117.061272971931	117.056587048725	116.91414266621	117.013581800288	116.930390138989	116.970848862722	117.390672156183	117.390672156183	116.833236899756	0.557435256427894
161.258436336743	117.243440304154	117.192326099781	116.955825875025	117.184745071064	117.182507783851	117.033186550207	117.13062578376	117.043744549143	117.085688755098	117.517372648523	117.517372648523	116.955825875025	0.561546773498463
163.300487180653	117.365877520201	117.315239555535	117.087537545631	117.313002100726	117.315423228225	117.158790682342	117.253567794962	117.164586790451	117.205409827878	117.655677530231	117.655677530231	117.087537545631	0.568139984600023
165.368396960963	117.487051743394	117.433963353336	117.222288818734	117.439952199541	117.454715333995	117.289114230102	117.379391944671	117.294093751689	117.329676344441	117.796243321063	117.796243321063	117.222288818734	0.573954502329414
167.462493135038	117.617997491388	117.563029415258	117.363625792701	117.577016397538	117.602448531003	117.428162627623	117.514919225888	117.434565014044	117.464232251371	117.947041437101	117.947041437101	117.363625792701	0.583415644399679
169.583107306911	117.745011577508	117.687387722618	117.493319610313	117.703601105658	117.736492960687	117.557846173583	117.642791099818	117.569659811019	117.588154616195	118.086637793721	118.086637793721	117.493319610313	0.593318183407675
171.730575279785	117.881339288112	117.822625265434	117.627471333146	117.840677641212	117.873269605252	117.695095946775	117.782636393141	117.710144474091	117.721400017505	118.229575860145	118.229575860145	117.627471333146	0.602104526999057
173.905237109216	118.004611011476	117.945986604378	117.741337354339	117.963165201371	117.989979240921	117.816783073477	117.908553047285	117.831205458805	117.841998713734	118.351629257533	118.351629257533	117.741337354339	0.610291903194067
176.107437156956	118.130483372942	118.069799841583	117.852003328585	118.082262328939	118.104513357023	117.941715643341	118.036525152638	117.950142559985	117.966189316002	118.466289020257	118.466289020257	117.852003328585	0.614285691671668
178.337524145486	118.249317210493	118.186928811601	117.95700612469	118.193962539042	118.212991146125	118.058975138183	118.156922724983	118.062031506746	118.087196590043	118.570466319625	118.570466319625	117.95700612469	0.613460194934689
