"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShift"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26B"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY REAR-338-AP-R-RA1","ASSY REAR-338-AP-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY REAR-338-BK-R-RA1","ASSY REAR-338-BK-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY REAR-338-WH-R-RA1","ASSY REAR-338-WH-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C24A"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C23A"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY F-PCB-338-R","ASSY F-PCB-338-R_C2AA"
"JSON","TIA-338-RA.json","TWS","6","338-RA-R-B","ASSY REAR-338-AP-R-RA1","ASSY REAR-338-AP-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","6","338-RA-R-B","ASSY REAR-338-BK-R-RA1","ASSY REAR-338-BK-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","6","338-RA-R-B","ASSY REAR-338-WH-R-RA1","ASSY REAR-338-WH-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","6","338-RA-R-B","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C24B"
"JSON","TIA-338-RA.json","TWS","6","338-RA-R-B","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C23B"
"JSON","TIA-338-RA.json","TWS","6","338-RA-R-B","ASSY F-PCB-338-R","ASSY F-PCB-338-R_C2BA"
