"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShiftCount","LineShifts"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY REAR-338-WH-L-RA1","2","ASSY REAR-338-WH-L-RA1_C22A | ASSY REAR-338-WH-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY BRACKET-338-INNER-L","4","ASSY BRACKET-338-INNER-L_C26A | ASSY BRACKET-338-INNER-L_C26B | ASSY BRACKET-338-INNER-L_C24A | ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","9","338-RA-WH-L","ASSY F-PCB-338-L","2","ASSY F-PCB-338-L_C2AB | ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","10","338-RA-WH-R","ASSY REAR-338-WH-R-RA1","2","ASSY REAR-338-WH-R-RA1_C21A | ASSY REAR-338-WH-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","10","338-RA-WH-R","ASSY BRACKET-338-INNER-R","4","ASSY BRACKET-338-INNER-R_C24A | ASSY BRACKET-338-INNER-R_C24B | ASSY BRACKET-338-INNER-R_C23A | ASSY BRACKET-338-INNER-R_C23B"
"JSON","TIA-338-RA.json","TWS","10","338-RA-WH-R","ASSY F-PCB-338-R","2","ASSY F-PCB-338-R_C2AA | ASSY F-PCB-338-R_C2BA"
"JSON","TIA-338-RA.json","TWS","11","338-RA-AP-L","ASSY REAR-338-AP-L-RA1","2","ASSY REAR-338-AP-L-RA1_C22A | ASSY REAR-338-AP-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","11","338-RA-AP-L","ASSY BRACKET-338-INNER-L","4","ASSY BRACKET-338-INNER-L_C26A | ASSY BRACKET-338-INNER-L_C26B | ASSY BRACKET-338-INNER-L_C24A | ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","11","338-RA-AP-L","ASSY F-PCB-338-L","2","ASSY F-PCB-338-L_C2AB | ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","12","338-RA-AP-R","ASSY REAR-338-AP-R-RA1","2","ASSY REAR-338-AP-R-RA1_C21A | ASSY REAR-338-AP-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","12","338-RA-AP-R","ASSY BRACKET-338-INNER-R","4","ASSY BRACKET-338-INNER-R_C24A | ASSY BRACKET-338-INNER-R_C24B | ASSY BRACKET-338-INNER-R_C23A | ASSY BRACKET-338-INNER-R_C23B"
"JSON","TIA-338-RA.json","TWS","12","338-RA-AP-R","ASSY F-PCB-338-R","2","ASSY F-PCB-338-R_C2AA | ASSY F-PCB-338-R_C2BA"
"JSON","TIU-C11-18-E2.json","UNIT","0","C11-18","TIU-C11-18-L-ZZ","2","TIU-C11-18-L-ZZ_E21A | TIU-C11-18-L-ZZ_E21B"
